alias	population	latitude	longitude	ploidy_man_curated	Species_fin	ENA accession	Project
ERR3397904	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397904	PRJEB33206
ERR3397905	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397905	PRJEB33206
ERR3397906	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397906	PRJEB33206
ERR3397907	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397907	PRJEB33206
ERR3397908	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397908	PRJEB33206
ERR3397909	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397909	PRJEB33206
ERR3397910	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397910	PRJEB33206
ERR3397911	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397911	PRJEB33206
ERR3397912	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397912	PRJEB33206
ERR3397913	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397913	PRJEB33206
ERR3397914	Scandinavia_UK_2n	61.41	8.25	2	A. lyrata	ERR3397914	PRJEB33206
ERR3514858	Central_Europe_4n	46.78442	17.28775	4	A. lyrata	ERR3514858	PRJEB34247
ERR3514859	Central_Europe_4n	46.78442	17.28775	4	A. lyrata	ERR3514859	PRJEB34247
ERR3514860	Central_Europe_4n	46.78442	17.28775	4	A. lyrata	ERR3514860	PRJEB34247
ERR3514864	Central_Europe_4n	48.29432	15.42614	4	A. lyrata	ERR3514864	PRJEB34247
ERR3514865	Central_Europe_4n	48.29432	15.42614	4	A. lyrata	ERR3514865	PRJEB34247
ERR3514866	Central_Europe_4n	48.29432	15.42614	4	A. lyrata	ERR3514866	PRJEB34247
ERR3514869	Central_Europe_4n	48.09283	16.27073	4	A. lyrata	ERR3514869	PRJEB34247
ERR3514870	Central_Europe_4n	48.09283	16.27073	4	A. lyrata	ERR3514870	PRJEB34247
ERR3514871	Central_Europe_4n	48.09283	16.27073	4	A. lyrata	ERR3514871	PRJEB34247
ERR3514872	Central_Europe_4n	48.39649	15.55268	4	A. lyrata	ERR3514872	PRJEB34247
ERR3514873	Central_Europe_4n	48.39649	15.55268	4	A. lyrata	ERR3514873	PRJEB34247
ERR3514874	Central_Europe_4n	48.39649	15.55268	4	A. lyrata	ERR3514874	PRJEB34247
ERR3514875	Central_Europe_4n	48.3818	15.56031	4	A. lyrata	ERR3514875	PRJEB34247
ERR3514876	Central_Europe_4n	48.3818	15.56031	4	A. lyrata	ERR3514876	PRJEB34247
ERR3514877	Central_Europe_4n	48.3818	15.56031	4	A. lyrata	ERR3514877	PRJEB34247
ERR3514878	Central_Europe_4n	48.07955	16.26718	4	A. lyrata	ERR3514878	PRJEB34247
ERR3514879	Central_Europe_4n	48.07955	16.26718	4	A. lyrata	ERR3514879	PRJEB34247
ERR3514880	Central_Europe_4n	48.07955	16.26718	4	A. lyrata	ERR3514880	PRJEB34247
ERR3514883	Central_Europe_2n	47.90154	15.96864	2	A. lyrata	ERR3514883	PRJEB34247
ERR3514884	Central_Europe_2n	47.90154	15.96864	2	A. lyrata	ERR3514884	PRJEB34247
ERR3514885	Central_Europe_2n	47.92251	15.98176	2	A. lyrata	ERR3514885	PRJEB34247
ERR3514886	Central_Europe_2n	47.92251	15.98176	2	A. lyrata	ERR3514886	PRJEB34247
ERR3514887	Central_Europe_4n	48.23901	15.34931	4	A. lyrata	ERR3514887	PRJEB34247
ERR3514888	Central_Europe_4n	48.23901	15.34931	4	A. lyrata	ERR3514888	PRJEB34247
ERR3514889	Central_Europe_4n	48.23901	15.34931	4	A. lyrata	ERR3514889	PRJEB34247
ERR3514892	Central_Europe_4n	48.27428	15.39301	4	A. lyrata	ERR3514892	PRJEB34247
ERR3514893	Central_Europe_4n	48.27428	15.39301	4	A. lyrata	ERR3514893	PRJEB34247
ERR3514895	Central_Europe_4n	48.34031	15.40085	4	A. lyrata	ERR3514895	PRJEB34247
ERR3514896	Central_Europe_4n	48.34031	15.40085	4	A. lyrata	ERR3514896	PRJEB34247
ERR3514897	Central_Europe_2n	47.97978	16.16374	2	A. lyrata	ERR3514897	PRJEB34247
ERR3514898	Central_Europe_2n	47.97978	16.16374	2	A. lyrata	ERR3514898	PRJEB34247
ERR3514899	Central_Europe_2n	47.97978	16.16374	2	A. lyrata	ERR3514899	PRJEB34247
ERR4235088	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235088	PRJEB33206
ERR4235089	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235089	PRJEB33206
ERR4235090	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235090	PRJEB33206
ERR4235091	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235091	PRJEB33206
ERR4235092	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235092	PRJEB33206
ERR4235093	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235093	PRJEB33206
ERR4235094	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235094	PRJEB33206
ERR4235095	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235095	PRJEB33206
ERR4235096	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235096	PRJEB33206
ERR4235097	Central_Europe_2n	49.65	11.45	2	A. lyrata	ERR4235097	PRJEB33206
NT1_1_1	East_Siberia_SC	68.78978	124.02293	2	A. lyrata	ERR9802381	PRJEB50329
NT1_2_1	East_Siberia_SC	68.78978	124.02293	2	A. lyrata	ERR9802382	PRJEB50329
NT1_3_1	East_Siberia_SC	68.78978	124.02293	2	A. lyrata	ERR9802383	PRJEB50329
MW0079570	East_Siberia_SC	70.5459	105.905	2	A. lyrata	ERR9802384	PRJEB50329
MW0079605	East_Siberia_SC	74.82053	106.3225	2	A. lyrata	ERR9802385	PRJEB50329
MW0079456	East_Siberia_SC	69.631288	168.432929	2	A. lyrata	ERR9802386	PRJEB50329
NT8_1_1	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR9802387	PRJEB50329
NT8_2_1	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR9802388	PRJEB50329
NT8_3_1	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR9802389	PRJEB50329
MW0158707	Central_Siberia_2n	72.30339	103.1866	2	A. lyrata	ERR9802390	PRJEB50329
MW0158706	Central_Siberia_2n	72.38404	103.9105	2	A. lyrata	ERR9802380	PRJEB50329
NT8_4_1	East_Siberia_2n	66.70192	123.30781	2	A. lyrata	ERR9802379	PRJEB50329
NT12_1_1	East_Siberia_2n	69.90925	125.1049	2	A. lyrata	ERR9802378	PRJEB50329
NT12_2_1	East_Siberia_2n	69.90925	125.1049	2	A. lyrata	ERR9802377	PRJEB50329
MW0079579	Central_Siberia_2n	75.27706	112.4588	2	A. lyrata	ERR9802376	PRJEB50329
MW0079581	Central_Siberia_2n	75.30149	112.4086	2	A. lyrata	ERR9802375	PRJEB50329
MW0079466	n/a	69.474793	166.586866	2	A. lyrata	ERR9802374	PRJEB50329
TE_10.3-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR11265614	PRJEB50329
TE_11.1-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR11265613	PRJEB50329
al1_1	Central_Siberia_4n	69.13	94.04	4	A. lyrata	ERR12736014	PRJEB67879
al2_1	Central_Siberia_4n	69.13	94.04	4	A. lyrata	ERR12736043	PRJEB67879
al3_1	Central_Siberia_4n	69.13	94.04	4	A. lyrata	ERR12736039	PRJEB67879
al4_1	Central_Siberia_4n	69.13	94.04	4	A. lyrata	ERR12736034	PRJEB67879
BAM_12.1-1	East_Siberia_2n	56.807	124.88904	2	A. lyrata	ERR12736064	PRJEB67879
IRK-ID2040	Central_Siberia_2n	51.92833	102.42666	2	A. lyrata	ERR12736052	PRJEB67879
IRK-ID27652	Central_Siberia_2n	58.7	103	2	A. lyrata	ERR12736057	PRJEB67879
IRK-ID51710	East_Siberia_SC	52	102	2	A. lyrata	ERR12736053	PRJEB67879
IRK-ID51711	Central_Siberia_2n	51.90944	102.41111	unsure	A. lyrata	ERR12736054	PRJEB67879
IRK-ID51712	Central_Siberia_2n	51.9325	102.42278	unsure	A. lyrata	ERR12736055	PRJEB67879
IRK-ID61141	Central_Siberia_2n	51.94167	102.42056	2	A. lyrata	ERR12736056	PRJEB67879
IRK-STAN	exclude	55.5	112.7	2	A. lyrata	ERR12736051	PRJEB67879
IRKU048360	Central_Siberia_2n	51.91752	102.721848	unsure	A. lyrata	ERR12736050	PRJEB67879
IRKU049793	exclude	57.5	116.55	4	A. lyrata	ERR12736049	PRJEB67879
IRKU049797	Central_Siberia_4n	51.94	102.7	4	A. lyrata	ERR12736063	PRJEB67879
IRKU049798	Central_Siberia_2n	51.94	102.7	2	A. lyrata	ERR12736062	PRJEB67879
IRKU049802	exclude	72.5	105.17	unsure	A. lyrata	ERR12736061	PRJEB67879
IRKU049803	Central_Siberia_4n	75.375	105.366666	4	A. lyrata	ERR12736060	PRJEB67879
IRKU049804	Central_Siberia_2n	72.5	105.17	2	A. lyrata	ERR12736059	PRJEB67879
IRKU084814	Central_Siberia_2n	51.970047	102.448011	2	A. lyrata	ERR12736058	PRJEB67879
MN_47	North_America_2n	43	-84	2	A. lyrata	ERR12742582	PRJEB67879
MW0079467_1	East_Siberia_2n	69.474793	166.61	2	A. lyrata	ERR12742392	PRJEB67879
MW0079472	exclude	63.13195	144.676274	unsure	A. lyrata	ERR12735966	PRJEB67879
MW0079473_1	East_Siberia_2n	63.13195	144.676274	2	A. lyrata	ERR12742391	PRJEB67879
MW0079478	Amur_Basin_2n	54.012285	127.423313	2	A. lyrata	ERR12735972	PRJEB67879
MW0079478_3	Amur_Basin_2n	54.012285	127.423313	2	A. lyrata	ERR12742390	PRJEB67879
MW0079479	Amur_Basin_2n	53.910706	127.414687	2	A. lyrata	ERR12735969	PRJEB67879
MW0079480	Amur_Basin_2n	53.880491	127.413271	2	A. lyrata	ERR12735968	PRJEB67879
MW0079480_3	Amur_Basin_2n	53.880491	127.413271	2	A. lyrata	ERR12742389	PRJEB67879
MW0079481	Amur_Basin_2n	54.328725	126.814736	2	A. lyrata	ERR12735991	PRJEB67879
MW0079481_2	Amur_Basin_2n	54.328725	126.814736	2	A. lyrata	ERR12742388	PRJEB67879
MW0079482	Amur_Basin_2n	54.006938	127.412327	2	A. lyrata	ERR12735971	PRJEB67879
MW0079482_2	Amur_Basin_2n	54.006938	127.412327	2	A. lyrata	ERR12742387	PRJEB67879
MW0079483	Amur_Basin_2n	53.983663	127.465556	2	A. lyrata	ERR12735970	PRJEB67879
MW0079484_2	Amur_Basin_2n	54.195031	127.12561	2	A. lyrata	ERR12742386	PRJEB67879
MW0079485	Amur_Basin_2n	54.101409	127.268292	2	A. lyrata	ERR12736003	PRJEB67879
MW0079485_2	Amur_Basin_2n	54.101409	127.268292	2	A. lyrata	ERR12742385	PRJEB67879
MW0079486_2	exclude	70.686846	127.354681	unsure	A. lyrata	ERR12742384	PRJEB67879
MW0079486_3	East_Siberia_2n	70.686846	127.354681	2	A. lyrata	ERR12742383	PRJEB67879
MW0079491	East_Siberia_2n	56.816615	124.878522	2	A. lyrata	ERR12735992	PRJEB67879
MW0079491_2	East_Siberia_2n	56.816615	124.878522	2	A. lyrata	ERR12742382	PRJEB67879
MW0079493_1	East_Siberia_2n	63.3508974	125.719986	2	A. lyrata	ERR12742381	PRJEB67879
MW0079494_2	East_Siberia_2n	72.3956019	126.6601753	2	A. lyrata	ERR12742380	PRJEB67879
MW0079496	East_Siberia_2n	63.264569	143.230643	2	A. lyrata	ERR12735965	PRJEB67879
MW0079497	KIS_2n	72.96641	78.933523	2	A. lyrata	ERR12735996	PRJEB67879
MW0079497_4	KIS_2n	72.96641	78.933523	2	A. lyrata	ERR12742379	PRJEB67879
MW0079500	KIS_2n	72.9040995	78.9319611	2	A. lyrata	ERR12735975	PRJEB67879
MW0079500_2	KIS_2n	72.9040995	78.9319611	2	A. lyrata	ERR12742378	PRJEB67879
MW0079507	Central_Siberia_4n	74.44556	99.6814	4	A. lyrata	ERR12736002	PRJEB67879
MW0079509	Northern_Ural_2n	59.5167321	59.1124535	2	A. lyrata	ERR12735987	PRJEB67879
MW0079510_1	Northern_Ural_2n	59.5167321	59.1124535	2	A. lyrata	ERR12742377	PRJEB67879
MW0079537	East_Siberia_2n	70.820742	129.638221	2	A. lyrata	ERR12736015	PRJEB67879
MW0079537_3	East_Siberia_2n	70.820742	129.638221	2	A. lyrata	ERR12742376	PRJEB67879
MW0079538	East_Siberia_2n	72.0034007	129.1133881	2	A. lyrata	ERR12736016	PRJEB67879
MW0079543_2	East_Siberia_2n	56.761912	124.749712	2	A. lyrata	ERR12742375	PRJEB67879
MW0079544	Central_Siberia_4n	72.4044258	126.8563843	4	A. lyrata	ERR12736017	PRJEB67879
MW0079545	East_Siberia_2n	72.5472921	127.2223663	2	A. lyrata	ERR12736018	PRJEB67879
MW0079546	Central_Siberia_4n	71.3093764	124.1757202	4	A. lyrata	ERR12736019	PRJEB67879
MW0079546_2	Central_Siberia_4n	71.3093764	124.1757202	4	A. lyrata	ERR12742374	PRJEB67879
MW0079552	Central_Siberia_4n	74.44204	98.81792	4	A. lyrata	ERR12735998	PRJEB67879
MW0079552_2	Central_Siberia_4n	74.44204	98.81792	4	A. lyrata	ERR12742373	PRJEB67879
MW0079552_3	Central_Siberia_4n	74.44204	98.81792	4	A. lyrata	ERR12742372	PRJEB67879
MW0079552_7	Central_Siberia_4n	74.44204	98.81792	4	A. lyrata	ERR12742371	PRJEB67879
MW0079552_8	Central_Siberia_4n	74.44204	98.81792	4	A. lyrata	ERR12742370	PRJEB67879
MW0079553	KIS_2n	72.96641	78.933523	2	A. lyrata	ERR12735976	PRJEB67879
MW0079553_5	KIS_2n	72.96641	78.933523	2	A. lyrata	ERR12742369	PRJEB67879
MW0079553_7	KIS_2n	72.96641	78.933523	2	A. lyrata	ERR12742368	PRJEB67879
MW0079558_2	Central_Siberia_4n	74.352355	104.723114	4	A. lyrata	ERR12742367	PRJEB67879
MW0079559	West_Siberia_2n	71.445855	89.213257	2	A. lyrata	ERR12735986	PRJEB67879
MW0079560	West_Siberia_2n	71.445855	89.213257	2	A. lyrata	ERR12742329	PRJEB67879
MW0079561_8	West_Siberia_2n	71.431966	89.220123	2	A. lyrata	ERR12742366	PRJEB67879
MW0079561_9	West_Siberia_2n	71.431966	89.220123	2	A. lyrata	ERR12742365	PRJEB67879
MW0079564	West_Siberia_2n	70.861044	89.897527	2	A. lyrata	ERR12735988	PRJEB67879
MW0079564_2	West_Siberia_2n	70.861044	89.897527	2	A. lyrata	ERR12742364	PRJEB67879
MW0079568-1_1	Central_Siberia_4n	71.67179	108.2023	4	A. lyrata	ERR12742363	PRJEB67879
MW0079568-2_1	exclude	72.46667	101.846	unsure	A. lyrata	ERR12742362	PRJEB67879
MW0079568-3_1	Central_Siberia_4n	71.6524	108.317	4	A. lyrata	ERR12742361	PRJEB67879
MW0079568-4_1	Central_Siberia_4n	71.64702	108.2709	4	A. lyrata	ERR12742360	PRJEB67879
MW0079569-2_1	Central_Siberia_4n	71.66347	108.2369	4	A. lyrata	ERR12742359	PRJEB67879
MW0079572-1	Central_Siberia_4n	74.09224	97.49822	4	A. lyrata	ERR12735978	PRJEB67879
MW0079572-2	Central_Siberia_4n	74.45192	98.88936	4	A. lyrata	ERR12735999	PRJEB67879
MW0079572-3_1	Central_Siberia_4n	74.43984	98.86396	4	A. lyrata	ERR12742358	PRJEB67879
MW0079573	Central_Siberia_4n	74.16692	97.5606	4	A. lyrata	ERR12735977	PRJEB67879
MW0079573_1	Central_Siberia_4n	74.16692	97.5606	4	A. lyrata	ERR12742357	PRJEB67879
MW0079573_3	Central_Siberia_4n	74.16692	97.5606	4	A. lyrata	ERR12742356	PRJEB67879
MW0079573_4	Central_Siberia_4n	74.16692	97.5606	4	A. lyrata	ERR12742355	PRJEB67879
MW0079573_5	Central_Siberia_4n	74.16692	97.5606	4	A. lyrata	ERR12742354	PRJEB67879
MW0079575	Central_Siberia_4n	74.5005	99.691	4	A. lyrata	ERR12736020	PRJEB67879
MW0079577_2	Central_Siberia_4n	71.2573333	103.335425	4	A. lyrata	ERR12742353	PRJEB67879
MW0079578-1	Central_Siberia_4n	73.394991	80.694923	4	A. lyrata	ERR12735997	PRJEB67879
MW0079582	Northern_Ural_2n	67.1670242	73.9422798	2	A. lyrata	ERR12735985	PRJEB67879
MW0079583_1	Northern_Ural_2n	59.5167321	59.1124535	2	A. lyrata	ERR12742352	PRJEB67879
MW0079583_2	Northern_Ural_2n	59.5167321	59.1124535	2	A. lyrata	ERR12742351	PRJEB67879
MW0079583_3	Northern_Ural_2n	59.5167321	59.1124535	2	A. lyrata	ERR12742350	PRJEB67879
MW0079584	Northern_Ural_4n	68.855228	64.758948	4	A. lyrata	ERR12735984	PRJEB67879
MW0079585	Northern_Ural_2n	66.628932	72.924427	2	A. lyrata	ERR12735967	PRJEB67879
MW0079587_4	West_Siberia_2n	67.495475	78.706424	2	A. lyrata	ERR12742349	PRJEB67879
MW0079587_6	West_Siberia_2n	67.495475	78.706424	2	A. lyrata	ERR12742348	PRJEB67879
MW0079589	Northern_Ural_4n	66.9574895	65.3775787	4	A. lyrata	ERR12735990	PRJEB67879
MW0079589_11	Northern_Ural_4n	66.9574895	65.3775787	4	A. lyrata	ERR12742347	PRJEB67879
MW0079589_8	Northern_Ural_4n	66.9574895	65.3775787	4	A. lyrata	ERR12742346	PRJEB67879
MW0079589_9	Northern_Ural_4n	66.9574895	65.3775787	4	A. lyrata	ERR12742345	PRJEB67879
MW0079591	Northern_Ural_2n	72.348909	72.087915	2	A. lyrata	ERR12735994	PRJEB67879
MW0079604	Central_Siberia_2n	74.8628	106.5649	2	A. lyrata	ERR12735974	PRJEB67879
MW0079604_5	Central_Siberia_2n	74.8628	106.5649	2	A. lyrata	ERR12742344	PRJEB67879
MW0079606	Central_Siberia_4n	74.86008	106.5688	4	A. lyrata	ERR12735995	PRJEB67879
MW0079608_2	exclude	70.064679	83.231126	unsure	A. lyrata	ERR12742343	PRJEB67879
MW0079608_3	West_Siberia_2n	70.064679	83.231126	2	A. lyrata	ERR12742342	PRJEB67879
MW0079609	Central_Siberia_4n	73.25255	90.598596	4	A. lyrata	ERR12735993	PRJEB67879
MW0079609_3	Central_Siberia_4n	73.25255	90.598596	4	A. lyrata	ERR12742341	PRJEB67879
MW0079609_4	Central_Siberia_4n	73.25255	90.598596	4	A. lyrata	ERR12742340	PRJEB67879
MW0079610	Central_Siberia_4n	74.54343	98.56321	4	A. lyrata	ERR12736000	PRJEB67879
MW0079895	Northern_Ural_2n	66.447954	72.941734	2	A. lyrata	ERR12735989	PRJEB67879
MW0157476_2	Central_Siberia_2n	71.88334	103.8291	2	A. lyrata	ERR12742339	PRJEB67879
MW0157478	Central_Siberia_4n	71.25438	105.5609	4	A. lyrata	ERR12736004	PRJEB67879
MW0157478_2	Central_Siberia_4n	71.25438	105.5609	4	A. lyrata	ERR12742338	PRJEB67879
MW0158708	East_Siberia_2n	71.32261	-179.9066	unsure	A. lyrata	ERR12735980	PRJEB67879
MW0374083	Northern_Ural_4n	66.53767	34.502	4	A. lyrata	ERR12735979	PRJEB67879
MW0374083_4	Northern_Ural_4n	66.53767	34.502	4	A. lyrata	ERR12742337	PRJEB67879
MW0374083_6	Northern_Ural_4n	66.53767	34.502	4	A. lyrata	ERR12742336	PRJEB67879
MW0374084	Northern_Ural_4n	72.2719304	52.4677849	4	A. lyrata	ERR12735983	PRJEB67879
MW0374084_2	Northern_Ural_4n	72.2719304	52.4677849	4	A. lyrata	ERR12742335	PRJEB67879
MW0374085_1	Northern_Ural_4n	66.53767	34.502	4	A. lyrata	ERR12742334	PRJEB67879
MW0374085_11	Northern_Ural_4n	66.53767	34.502	4	A. lyrata	ERR12742333	PRJEB67879
MW0374087	Northern_Ural_4n	66.5378771	34.4919205	4	A. lyrata	ERR12736001	PRJEB67879
MW0374087_5	Northern_Ural_4n	66.5378771	34.4919205	4	A. lyrata	ERR12742332	PRJEB67879
MW0374087_9	exclude	66.5378771	34.4919205	unsure	A. lyrata	ERR12742331	PRJEB67879
MW0374094_6	exclude	72.3738873	52.7165222	unsure	A. lyrata	ERR12742330	PRJEB67879
MW0374095	Northern_Ural_4n	71.1367605	54.0211487	4	A. lyrata	ERR12735982	PRJEB67879
MW0374101	Northern_Ural_4n	71.1367605	54.0211487	4	A. lyrata	ERR12735981	PRJEB67879
MW0374102-2	Northern_Ural_4n	68.1229941	66.1201859	4	A. lyrata	ERR12735973	PRJEB67879
NT10_1_1	East_Siberia_2n	71.80696	127.46523	2	A. lyrata	ERR12736022	PRJEB67879
NT10_2_1	East_Siberia_2n	71.80696	127.46523	2	A. lyrata	ERR12736047	PRJEB67879
NT10_3_1	East_Siberia_2n	71.80696	127.46523	2	A. lyrata	ERR12736013	PRJEB67879
NT13_9_1	East_Siberia_2n	71.04445	127.53303	2	A. lyrata	ERR12736012	PRJEB67879
NT14_1_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736011	PRJEB67879
NT14_10_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736044	PRJEB67879
NT14_11_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736040	PRJEB67879
NT14_3_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736010	PRJEB67879
NT14_4_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736009	PRJEB67879
NT14_5_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736028	PRJEB67879
NT14_6_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736025	PRJEB67879
NT14_7_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736021	PRJEB67879
NT14_8_1	East_Siberia_2n	71.59676	129.16077	2	A. lyrata	ERR12736046	PRJEB67879
NT15_1_1	East_Siberia_2n	71.56023	128.76028	2	A. lyrata	ERR12736035	PRJEB67879
NT15_2_1	East_Siberia_2n	71.56023	128.76028	2	A. lyrata	ERR12736008	PRJEB67879
NT15_3_1	East_Siberia_2n	71.56023	128.76028	2	A. lyrata	ERR12736027	PRJEB67879
NT15_4_1	East_Siberia_2n	71.56023	128.76028	2	A. lyrata	ERR12736024	PRJEB67879
NT15_5_1	East_Siberia_2n	71.56023	128.76028	2	A. lyrata	ERR12736007	PRJEB67879
NT16.1-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736119	PRJEB67879
NT16.1-2	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736118	PRJEB67879
NT16.1-4	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736117	PRJEB67879
NT16.1-5	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736116	PRJEB67879
NT16.2-1	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736115	PRJEB67879
NT16.2-2	East_Siberia_2n	72.91466	126.32345	2	A. lyrata	ERR12736114	PRJEB67879
