alias	population	latitude	longitude	ploidy_man_curated	Species_fin	ENA accession	Project
TE_8.9-1	West_Siberia_2n	68.86441	77.6911	2	A. lyrata	ERR12742412	PRJEB67879
TE_8.9-2	West_Siberia_2n	68.86441	77.6911	2	A. lyrata	ERR12742411	PRJEB67879
TE_8mix-1	West_Siberia_2n	68.86441	77.6911	2	A. lyrata	ERR12742410	PRJEB67879
TE_8mix-2	West_Siberia_2n	68.86441	77.6911	2	A. lyrata	ERR12742409	PRJEB67879
TE_9.1-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742408	PRJEB67879
TE_9.1-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742407	PRJEB67879
WS_1.1-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742406	PRJEB67879
WS_1.1-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742405	PRJEB67879
WS_1.2-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742404	PRJEB67879
WS_1.2-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742403	PRJEB67879
WS_1.3-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742402	PRJEB67879
WS_1.3-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742401	PRJEB67879
WS_1.4-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742400	PRJEB67879
WS_1.4-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742399	PRJEB67879
WS_1.5-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742398	PRJEB67879
WS_1.5-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742397	PRJEB67879
WS_1.6-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742396	PRJEB67879
WS_1.6-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742395	PRJEB67879
WS_1.7-1	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742394	PRJEB67879
WS_1.7-2	Northern_Ural_4n	66.53735	34.50509	4	A. lyrata	ERR12742393	PRJEB67879
SRR2040769	North_America_2n	63.1	-69.72	2	A. lyrata	SRR2040769	PRJNA284572
SRR2040770	North_America_2n	56.54	-79.22	2	A. lyrata	SRR2040770	PRJNA284572
SRR2040788	North_America_2n	42.26	-81.84	2	A. lyrata	SRR2040788	PRJNA284572
SRR2040789	North_America_2n	43.25	-81.85	2	A. lyrata	SRR2040789	PRJNA284572
SRR2040790	Central_Europe_2n	49.62	11.51	2	A. lyrata	SRR2040790	PRJNA284572
SRR2040791	Central_Europe_2n	49.11	16.3	2	A. lyrata	SRR2040791	PRJNA284572
SRR2040793	Scandinavia_UK_2n	57	-3.11	2	A. lyrata	SRR2040793	PRJNA284572
SRR2040794	Scandinavia_UK_2n	56.4	-4.81	2	A. lyrata	SRR2040794	PRJNA284572
SRR2040795	Karelia_2n	62.9	34.41	2	A. lyrata	SRR2040795	PRJNA284572
SRR2040796	exclude	62.9	34.41	unsure	A. lyrata	SRR2040796	PRJNA284572
SRR2040797	Central_Europe_2n	47.91	15.97	2	A. lyrata	SRR2040797	PRJNA284572
SRR2040798	Central_Europe_2n	49.73	12.99	2	A. lyrata	SRR2040798	PRJNA284572
SRR2040804	East_Siberia_2n	71.04	127.52	2	A. lyrata	SRR2040804	PRJNA284572
SRR2040805	Northern_Ural_4n	66.9	58.55	4	A. lyrata	SRR2040805	PRJNA284572
SRR2040806	East_Siberia_SC	68.8	160.3	2	A. lyrata	SRR2040806	PRJNA284572
SRR2040826	Central_Europe_4n	48.07	16.26	4	A. lyrata	SRR2040826	PRJNA284572
SRR2040827	Central_Europe_4n	47.98	15.56	4	A. lyrata	SRR2040827	PRJNA284572
SRR2040828	Central_Europe_4n	48.23	15.34	4	A. lyrata	SRR2040828	PRJNA284572
SRR2040830	Central_Europe_4n	48.39	15.48	4	A. lyrata	SRR2040830	PRJNA284572
SRR3111439	Central_Europe_2n	49.75	11.42	2	A. lyrata	SRR3111439	PRJNA284572
SRR3111440	Central_Europe_2n	47.91	15.97	2	A. lyrata	SRR3111440	PRJNA284572
SRR3111441	Central_Europe_2n	47.97	16.16	2	A. lyrata	SRR3111441	PRJNA284572
SRR3111442	Central_Europe_2n	49.11	16.3	2	A. lyrata	SRR3111442	PRJNA284572
SRR3111443	Central_Europe_2n	50.06	14.07	2	A. lyrata	SRR3111443	PRJNA284572
SRR3111448	Central_Europe_4n	49.08	16.33	4	A. lyrata	SRR3111448	PRJNA284572
SRR5124974	Karelia_2n	62.9166667	34.41666667	2	A. lyrata	SRR5124974	PRJNA357372
SRR5124975	Central_Europe_2n	49.65	11.48333333	2	A. lyrata	SRR5124975	PRJNA357372
SRR5124976	Scandinavia_UK_2n	57.5033	-6.1975	2	A. lyrata	SRR5124976	PRJNA357372
SRR5124977	Scandinavia_UK_2n	61.6333333	8.4	2	A. lyrata	SRR5124977	PRJNA357372
SRR5124978	Scandinavia_UK_2n	63.2166667	18.95	2	A. lyrata	SRR5124978	PRJNA357372
SRR5124979	North_America_2n	36.4166667	-79.9666667	2	A. lyrata	SRR5124979	PRJNA357372
SRR5124980	Karelia_2n	62.9166667	34.41666667	2	A. lyrata	SRR5124980	PRJNA357372
SRR5124981	North_America_2n	36.4166667	-79.9666667	2	A. lyrata	SRR5124981	PRJNA357372
SRR5124982	Scandinavia_UK_2n	63.2166667	18.95	2	A. lyrata	SRR5124982	PRJNA357372
SRR5124983	Scandinavia_UK_2n	61.6333333	8.4	2	A. lyrata	SRR5124983	PRJNA357372
SRR5124984	Central_Europe_2n	49.65	11.48333333	2	A. lyrata	SRR5124984	PRJNA357372
SRR5124985	Scandinavia_UK_2n	61.6333333	8.4	2	A. lyrata	SRR5124985	PRJNA357372
SRR5124986	Central_Europe_2n	49.65	11.48333333	2	A. lyrata	SRR5124986	PRJNA357372
SRR5124987	Scandinavia_UK_2n	63.2166667	18.95	2	A. lyrata	SRR5124987	PRJNA357372
SRR5124988	Scandinavia_UK_2n	57.5033	-6.1975	2	A. lyrata	SRR5124988	PRJNA357372
SRR5124989	Central_Europe_2n	49.65	11.48333333	2	A. lyrata	SRR5124989	PRJNA357372
SRR5124990	Central_Europe_2n	49.65	11.48333333	2	A. lyrata	SRR5124990	PRJNA357372
SRR5124991	North_America_2n	36.4166667	-79.9666667	2	A. lyrata	SRR5124991	PRJNA357372
SRR5124992	North_America_2n	36.4166667	-79.9666667	2	A. lyrata	SRR5124992	PRJNA357372
SRR5124993	Karelia_2n	62.9166667	34.41666667	2	A. lyrata	SRR5124993	PRJNA357372
SRR5124994	North_America_2n	36.4166667	-79.9666667	2	A. lyrata	SRR5124994	PRJNA357372
SRR5124995	Scandinavia_UK_2n	63.2166667	18.95	2	A. lyrata	SRR5124995	PRJNA357372
SRR5124996	Scandinavia_UK_2n	63.2166667	18.95	2	A. lyrata	SRR5124996	PRJNA357372
SRR5124997	Scandinavia_UK_2n	61.6333333	8.4	2	A. lyrata	SRR5124997	PRJNA357372
SRR5124998	Scandinavia_UK_2n	61.6333333	8.4	2	A. lyrata	SRR5124998	PRJNA357372
SRR5124999	Scandinavia_UK_2n	61.6333333	8.4	2	A. lyrata	SRR5124999	PRJNA357372
SRR5125000	North_America_2n	36.4166667	-79.9666667	2	A. lyrata	SRR5125000	PRJNA357372
SRR5125001	Karelia_2n	62.9166667	34.41666667	2	A. lyrata	SRR5125001	PRJNA357372
SRR5125002	Scandinavia_UK_2n	63.2166667	18.95	2	A. lyrata	SRR5125002	PRJNA357372
SRR5125003	Central_Europe_2n	49.65	11.48333333	2	A. lyrata	SRR5125003	PRJNA357372
SRR7119523	Scandinavia_UK_2n	62.66	8.62	2	A. lyrata	SRR7119523	PRJNA459481
SRR7119524	Scandinavia_UK_2n	62.66	8.62	2	A. lyrata	SRR7119524	PRJNA459481
SRR7119525	Scandinavia_UK_2n	62.66	8.62	2	A. lyrata	SRR7119525	PRJNA459481
SRR7119526	Scandinavia_UK_2n	62.66	8.62	2	A. lyrata	SRR7119526	PRJNA459481
SRR7119527	Scandinavia_UK_2n	62.44	8.9	2	A. lyrata	SRR7119527	PRJNA459481
SRR7119528	Scandinavia_UK_2n	62.44	8.9	2	A. lyrata	SRR7119528	PRJNA459481
SRR7119529	Scandinavia_UK_2n	62.44	8.9	2	A. lyrata	SRR7119529	PRJNA459481
SRR7119530	Scandinavia_UK_2n	62.44	8.9	2	A. lyrata	SRR7119530	PRJNA459481
SRR7119531	Scandinavia_UK_2n	62.44	8.9	2	A. lyrata	SRR7119531	PRJNA459481
SRR7119532	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119532	PRJNA459481
SRR7119533	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119533	PRJNA459481
SRR7119534	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119534	PRJNA459481
SRR7119535	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119535	PRJNA459481
SRR7119536	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119536	PRJNA459481
SRR7119537	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119537	PRJNA459481
SRR7119539	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119539	PRJNA459481
SRR7119540	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119540	PRJNA459481
SRR7119541	Scandinavia_UK_2n	61.84	8.57	2	A. lyrata	SRR7119541	PRJNA459481
SRR7119542	Scandinavia_UK_2n	62.66	8.62	2	A. lyrata	SRR7119542	PRJNA459481
SRR7119543	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119543	PRJNA459481
SRR7119544	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119544	PRJNA459481
SRR7119545	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119545	PRJNA459481
SRR7119546	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119546	PRJNA459481
SRR7119547	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119547	PRJNA459481
SRR7119548	Scandinavia_UK_2n	61.62	8.4	2	A. lyrata	SRR7119548	PRJNA459481
SRR9319641	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319641	PRJNA459481
SRR9319642	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319642	PRJNA459481
SRR9319643	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319643	PRJNA459481
SRR9319644	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319644	PRJNA459481
SRR9319645	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319645	PRJNA459481
SRR9319646	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319646	PRJNA459481
SRR9319647	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319647	PRJNA459481
SRR9319648	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319648	PRJNA459481
SRR9319649	Scandinavia_UK_2n	62.74	9.3	2	A. lyrata	SRR9319649	PRJNA459481
ERR2182749	North_America_2n			2	A. lyrata	ERR2182749	PRJEB23202
ERR2182750	North_America_2n			2	A. lyrata	ERR2182750	PRJEB23202
ERR2182751	North_America_2n			2	A. lyrata	ERR2182751	PRJEB23202
ERR2182752	North_America_2n			2	A. lyrata	ERR2182752	PRJEB23202
ERR2182753	North_America_2n			2	A. lyrata	ERR2182753	PRJEB23202
ERR2182754	North_America_2n			2	A. lyrata	ERR2182754	PRJEB23202
ERR2182755	North_America_2n			2	A. lyrata	ERR2182755	PRJEB23202
ERR2182757	North_America_2n			2	A. lyrata	ERR2182757	PRJEB23202
ERR2182758	North_America_2n			2	A. lyrata	ERR2182758	PRJEB23202
ERR2182759	North_America_2n			2	A. lyrata	ERR2182759	PRJEB23202
ERR2182760	North_America_2n			2	A. lyrata	ERR2182760	PRJEB23202
ERR2182761	North_America_2n			2	A. lyrata	ERR2182761	PRJEB23202
ERR2182762	North_America_2n			2	A. lyrata	ERR2182762	PRJEB23202
ERR2182763	North_America_2n			2	A. lyrata	ERR2182763	PRJEB23202
ERR2182764	North_America_2n			2	A. lyrata	ERR2182764	PRJEB23202
ERR2182765	North_America_2n			2	A. lyrata	ERR2182765	PRJEB23202
ERR2182766	North_America_2n			2	A. lyrata	ERR2182766	PRJEB23202
ERR2182767	North_America_2n			2	A. lyrata	ERR2182767	PRJEB23202
ERR2182768	North_America_2n			2	A. lyrata	ERR2182768	PRJEB23202
ERR2182769	North_America_2n			2	A. lyrata	ERR2182769	PRJEB23202
ERR2182770	North_America_2n			2	A. lyrata	ERR2182770	PRJEB23202
ERR2182771	North_America_2n			2	A. lyrata	ERR2182771	PRJEB23202
ERR2182772	North_America_2n			2	A. lyrata	ERR2182772	PRJEB23202
ERR3014183	North_America_2n			2	A. lyrata	ERR3014183	PRJEB30473
ERR3014185	North_America_2n			2	A. lyrata	ERR3014185	PRJEB30473
ERR3014187	North_America_2n			2	A. lyrata	ERR3014187	PRJEB30473
ERR3014189	North_America_2n			2	A. lyrata	ERR3014189	PRJEB30473
ERR3014191	North_America_2n			2	A. lyrata	ERR3014191	PRJEB30473
ERR3014193	North_America_2n			2	A. lyrata	ERR3014193	PRJEB30473
ERR3014195	North_America_2n			2	A. lyrata	ERR3014195	PRJEB30473
ERR3014197	North_America_2n			2	A. lyrata	ERR3014197	PRJEB30473
ERR3014199	North_America_2n			2	A. lyrata	ERR3014199	PRJEB30473
ERR3014201	North_America_2n			2	A. lyrata	ERR3014201	PRJEB30473
ERR3014203	North_America_2n			2	A. lyrata	ERR3014203	PRJEB30473
ERR3014205	North_America_2n			2	A. lyrata	ERR3014205	PRJEB30473
ERR3014207	North_America_2n			2	A. lyrata	ERR3014207	PRJEB30473
ERR3014209	North_America_2n			2	A. lyrata	ERR3014209	PRJEB30473
ERR3014211	North_America_2n			2	A. lyrata	ERR3014211	PRJEB30473
ERR3014213	North_America_2n			2	A. lyrata	ERR3014213	PRJEB30473
ERR3014215	North_America_2n			2	A. lyrata	ERR3014215	PRJEB30473
ERR3014217	North_America_2n			2	A. lyrata	ERR3014217	PRJEB30473
ERR3014219	North_America_2n			2	A. lyrata	ERR3014219	PRJEB30473
ERR3014221	North_America_2n			2	A. lyrata	ERR3014221	PRJEB30473
ERR3014223	North_America_2n			2	A. lyrata	ERR3014223	PRJEB30473
ERR3014225	North_America_2n			2	A. lyrata	ERR3014225	PRJEB30473
ERR3014227	North_America_2n			2	A. lyrata	ERR3014227	PRJEB30473
ERR3014229	North_America_2n			2	A. lyrata	ERR3014229	PRJEB30473
ERR3014231	North_America_2n			2	A. lyrata	ERR3014231	PRJEB30473
ERR3014233	North_America_2n			2	A. lyrata	ERR3014233	PRJEB30473
ERR3014235	North_America_2n			2	A. lyrata	ERR3014235	PRJEB30473
ERR3014237	North_America_2n			2	A. lyrata	ERR3014237	PRJEB30473
ERR3014239	North_America_2n			2	A. lyrata	ERR3014239	PRJEB30473
ERR3014241	North_America_2n			2	A. lyrata	ERR3014241	PRJEB30473
ERR3014243	North_America_2n			2	A. lyrata	ERR3014243	PRJEB30473
ERR3014245	North_America_2n			2	A. lyrata	ERR3014245	PRJEB30473
ERR3014247	North_America_2n			2	A. lyrata	ERR3014247	PRJEB30473
ERR3014249	North_America_2n			2	A. lyrata	ERR3014249	PRJEB30473
ERR3014251	North_America_2n			2	A. lyrata	ERR3014251	PRJEB30473
ERR3014253	North_America_2n			2	A. lyrata	ERR3014253	PRJEB30473
ERR3014255	North_America_2n			2	A. lyrata	ERR3014255	PRJEB30473
ERR3014257	North_America_2n			2	A. lyrata	ERR3014257	PRJEB30473
ERR3014259	North_America_2n			2	A. lyrata	ERR3014259	PRJEB30473
ERR3014261	North_America_2n			2	A. lyrata	ERR3014261	PRJEB30473
ERR3014263	North_America_2n			2	A. lyrata	ERR3014263	PRJEB30473
ERR3014265	North_America_2n			2	A. lyrata	ERR3014265	PRJEB30473
ERR3014267	North_America_2n			2	A. lyrata	ERR3014267	PRJEB30473
ERR3014269	North_America_2n			2	A. lyrata	ERR3014269	PRJEB30473
ERR3014271	North_America_2n			2	A. lyrata	ERR3014271	PRJEB30473
ERR3014273	North_America_2n			2	A. lyrata	ERR3014273	PRJEB30473
ERR3014275	North_America_2n			2	A. lyrata	ERR3014275	PRJEB30473
ERR3014277	North_America_2n			2	A. lyrata	ERR3014277	PRJEB30473
ERR3014279	North_America_2n			2	A. lyrata	ERR3014279	PRJEB30473
ERR3014281	North_America_2n			2	A. lyrata	ERR3014281	PRJEB30473
ERR3014283	North_America_2n			2	A. lyrata	ERR3014283	PRJEB30473
ERR3014285	North_America_2n			2	A. lyrata	ERR3014285	PRJEB30473
ERR3014287	North_America_2n			2	A. lyrata	ERR3014287	PRJEB30473
ERR3014289	North_America_2n			2	A. lyrata	ERR3014289	PRJEB30473
ERR3014291	North_America_2n			2	A. lyrata	ERR3014291	PRJEB30473
ERR3014293	North_America_2n			2	A. lyrata	ERR3014293	PRJEB30473
ERR3014295	North_America_2n			2	A. lyrata	ERR3014295	PRJEB30473
ERR3014297	North_America_2n			2	A. lyrata	ERR3014297	PRJEB30473
ERR3014299	North_America_2n			2	A. lyrata	ERR3014299	PRJEB30473
ERR3014301	North_America_2n			2	A. lyrata	ERR3014301	PRJEB30473
ERR3014303	North_America_2n			2	A. lyrata	ERR3014303	PRJEB30473
ERR3014305	North_America_2n			2	A. lyrata	ERR3014305	PRJEB30473
ERR3014307	North_America_2n			2	A. lyrata	ERR3014307	PRJEB30473
ERR3014309	North_America_2n			2	A. lyrata	ERR3014309	PRJEB30473
ERR3014311	Central_Europe_2n			2	A. lyrata	ERR3014311	PRJEB30473
ERR3014313	Central_Europe_2n			2	A. lyrata	ERR3014313	PRJEB30473
ERR3014315	North_America_2n			2	A. lyrata	ERR3014315	PRJEB30473
ERR3014317	North_America_2n			2	A. lyrata	ERR3014317	PRJEB30473
ERR3014319	North_America_2n			2	A. lyrata	ERR3014319	PRJEB30473
ERR3014321	North_America_2n			2	A. lyrata	ERR3014321	PRJEB30473
ERR3014323	North_America_2n			2	A. lyrata	ERR3014323	PRJEB30473
ERR3014325	North_America_2n			2	A. lyrata	ERR3014325	PRJEB30473
ERR3014327	North_America_2n			2	A. lyrata	ERR3014327	PRJEB30473
ERR3014329	North_America_2n			2	A. lyrata	ERR3014329	PRJEB30473
ERR3014331	North_America_2n			2	A. lyrata	ERR3014331	PRJEB30473
ERR3014333	North_America_2n			2	A. lyrata	ERR3014333	PRJEB30473
ERR3014335	North_America_2n			2	A. lyrata	ERR3014335	PRJEB30473
ERR3014337	North_America_2n			2	A. lyrata	ERR3014337	PRJEB30473
ERR3014339	North_America_2n			2	A. lyrata	ERR3014339	PRJEB30473
ERR3014341	North_America_2n			2	A. lyrata	ERR3014341	PRJEB30473
ERR3014343	North_America_2n			2	A. lyrata	ERR3014343	PRJEB30473
ERR3014345	North_America_2n			2	A. lyrata	ERR3014345	PRJEB30473
ERR3014347	North_America_2n			2	A. lyrata	ERR3014347	PRJEB30473
ERR3014349	North_America_2n			2	A. lyrata	ERR3014349	PRJEB30473
ERR3014351	North_America_2n			2	A. lyrata	ERR3014351	PRJEB30473
ERR3014353	North_America_2n			2	A. lyrata	ERR3014353	PRJEB30473
ERR3014355	North_America_2n			2	A. lyrata	ERR3014355	PRJEB30473
ERR3014357	North_America_2n			2	A. lyrata	ERR3014357	PRJEB30473
ERR3014359	North_America_2n			2	A. lyrata	ERR3014359	PRJEB30473
ERR3014361	North_America_2n			2	A. lyrata	ERR3014361	PRJEB30473
ERR3014363	North_America_2n			2	A. lyrata	ERR3014363	PRJEB30473
ERR3014365	North_America_2n			2	A. lyrata	ERR3014365	PRJEB30473
ERR3014367	North_America_2n			2	A. lyrata	ERR3014367	PRJEB30473
ERR3014369	North_America_2n			2	A. lyrata	ERR3014369	PRJEB30473
ERR3014371	North_America_2n			2	A. lyrata	ERR3014371	PRJEB30473
ERR3014373	North_America_2n			2	A. lyrata	ERR3014373	PRJEB30473
ERR3014375	North_America_2n			2	A. lyrata	ERR3014375	PRJEB30473
ERR3014377	North_America_2n			2	A. lyrata	ERR3014377	PRJEB30473
ERR3014379	North_America_2n			2	A. lyrata	ERR3014379	PRJEB30473
ERR3014381	North_America_2n			2	A. lyrata	ERR3014381	PRJEB30473
ERR3014383	North_America_2n			2	A. lyrata	ERR3014383	PRJEB30473
ERR3014385	North_America_2n			2	A. lyrata	ERR3014385	PRJEB30473
ERR3014387	North_America_2n			2	A. lyrata	ERR3014387	PRJEB30473
ERR3014389	North_America_2n			2	A. lyrata	ERR3014389	PRJEB30473
ERR3014391	North_America_2n			2	A. lyrata	ERR3014391	PRJEB30473
ERR3014393	North_America_2n			2	A. lyrata	ERR3014393	PRJEB30473
ERR3014395	North_America_2n			2	A. lyrata	ERR3014395	PRJEB30473
ERR3014397	North_America_2n			2	A. lyrata	ERR3014397	PRJEB30473
ERR3014399	North_America_2n			2	A. lyrata	ERR3014399	PRJEB30473
ERR3014401	North_America_2n			2	A. lyrata	ERR3014401	PRJEB30473
ERR3014403	North_America_2n			2	A. lyrata	ERR3014403	PRJEB30473
ERR3014405	North_America_2n			2	A. lyrata	ERR3014405	PRJEB30473
ERR3014411	Central_Europe_2n			2	A. lyrata	ERR3014411	PRJEB30473
ERR3014413	Central_Europe_2n			2	A. lyrata	ERR3014413	PRJEB30473
SRR2040792	Central_Europe_4n			4	A. lyrata	SRR2040792	PRJNA284572
SRR2040829	Central_Europe_4n			4	A. lyrata	SRR2040829	PRJNA284572
SRR3111438	n/a				A. lyrata	SRR3111438	PRJNA284572
SRR7119538	Central_Europe_2n			2	A. lyrata	SRR7119538	PRJNA459481
SRR7904932	Central_Europe_2n			2	A. lyrata	SRR7904932	PRJNA493227
SRR7904933	Central_Europe_2n			2	A. lyrata	SRR7904933	PRJNA493227
SRR7904934	Central_Europe_2n			2	A. lyrata	SRR7904934	PRJNA493227
SRR7904935	Central_Europe_2n			2	A. lyrata	SRR7904935	PRJNA493227
SRR7904940	Central_Europe_2n			2	A. lyrata	SRR7904940	PRJNA493227
SRR7904941	Central_Europe_2n			2	A. lyrata	SRR7904941	PRJNA493227
SRR7904952	Central_Europe_2n			2	A. lyrata	SRR7904952	PRJNA493227
SRR7904953	Central_Europe_2n			2	A. lyrata	SRR7904953	PRJNA493227
SRR7904954	Central_Europe_2n			2	A. lyrata	SRR7904954	PRJNA493227
SRR7904955	Central_Europe_2n			2	A. lyrata	SRR7904955	PRJNA493227
SRR7904956	Central_Europe_2n			2	A. lyrata	SRR7904956	PRJNA493227
SRR7904957	Central_Europe_2n			2	A. lyrata	SRR7904957	PRJNA493227
SRR7904958	Central_Europe_2n			2	A. lyrata	SRR7904958	PRJNA493227
SRR7904959	Central_Europe_2n			2	A. lyrata	SRR7904959	PRJNA493227
SRR7904960	Central_Europe_2n			2	A. lyrata	SRR7904960	PRJNA493227
